csúcsid;alcsúcsid;MEGNEVEZES;alcsúcsid_megnevezes;MERTEKEGYSEG;kapcsolat
m7;0;Vérnyomás felsõ (Systolés);ismeretlen;Hgmm;m7,m24,m25,m32,m308,m309,m314,m315,m321,m507,m687,m689,m1010,m1028,m1029,m2002,m320,m1015,m1016,m1030,m1031,m1032,m77,m217,m1001,m1021,m1056,m714,m78,m83,m265,m1012,m1018,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m1033,m99,m1006,m1014,m317,m1023,m1038,m1047,m1050,m1054,m1049,m1066,m1042,
m8;0;Vérnyomás alsó (Diastolés);ismeretlen;Hgmm;m8,m32,m508,m689,m1010,m1028,m1029,m2002,m77,m217,m1001,m1016,m1021,m1056,m714,m78,m83,m265,m1012,m1018,m1022,m1036,m1048,m1051,m1052,m1053,m1062,m1065,m1060,m1063,m1064,m1068,m99,m1006,m1014,m1033,m317,m1023,m1038,m1047,m1050,m1054,m1049,m1066,m1015,m1042,m320,
m9;0;Vérnyomás gyógyszerrel kezelve?;nem;NULL;m9,m25,m509,m1036,m1053,m1032,m714,
m9;1;Vérnyomás gyógyszerrel kezelve?;igen;NULL;m9,m25,m509,m1036,m1053,m1032,m714,
m9;2;Vérnyomás gyógyszerrel kezelve?;nem ismert;NULL;m9,m25,m509,m1036,m1053,m1032,m714,
m10;0;Össz koleszterinszint;ismeretlen;mmol/l;m10,m24,m25,m29,m321,m510,m1024,m1045,m1067,m1070,m320,m1015,m1016,m1030,m1031,m1032,m30,m714,m2002,m78,m81,m265,m1008,m1018,m1048,m1063,m1064,m1065,m1062,m1033,m530,m1027,m317,m79,m80,m1012,m1021,m1022,m1037,m1049,m1066,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,
m11;0;HDL koleszterinszint;ismeretlen;mmol/l;m11,m46,m446,m546,m1020,m25,m29,m714,m81,m1008,m1048,m1032,m30,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m530,m1027,m2002,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m12;0;Megmért LDL koleszterinszint;ismeretlen;mmol/l;m12,m30,m1027,m530,m2002,m81,m1008,m1048,m714,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m13;0;Triglicerid;ismeretlen;mmol/l;m13,m48,m448,m548,m1026,m29,m714,m1008,m1048,m30,m1012,m1021,m1022,m1037,m1049,m530,m1027,m2002,m83,m1041,m1051,m1052,m81,m1014,m1023,m1038,m1047,m1050,m1054,m79,m80,m1015,m1016,m320,m1033,
m14;0;Vércukorszint;ismeretlen;mmol/l;m14,m293,m514,m1009,m1034,m1035,m1059,m1071,m1063,m1064,m714,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m1043,m1044,m1062,m1065,m1068,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m1066,m320,m1016,m209,m1015,m1033,
m15;0;Koszorúér betegsége volt-e?;nem;NULL;m15,m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m15;1;Koszorúér betegsége volt-e?;igen;NULL;m15,m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m15;2;Koszorúér betegsége volt-e?;nem ismert;NULL;m15,m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m16;0;Érszûkületi betgsége volt-e?;nem;NULL;m16,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m16;1;Érszûkületi betgsége volt-e?;igen;NULL;m16,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m16;2;Érszûkületi betgsége volt-e?;nem ismert;NULL;m16,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m17;0;agyér betegsége volt-e?;nem;NULL;m17,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m17;1;agyér betegsége volt-e?;igen;NULL;m17,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m17;2;agyér betegsége volt-e?;nem ismert;NULL;m17,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m18;0;2-es típusú cukorbeteg-e?;nem;NULL;m18,m76,m201,m204,m205,m206,m214,m217,m901,m1003,m1005,m1015,m1016,m1021,m1022,m1039,m1056,m2001,m2002,m99,m216,m1006,m1023,m1033,m209,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m18;1;2-es típusú cukorbeteg-e?;igen;NULL;m18,m76,m201,m204,m205,m206,m214,m217,m901,m1003,m1005,m1015,m1016,m1021,m1022,m1039,m1056,m2001,m2002,m99,m216,m1006,m1023,m1033,m209,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m18;2;2-es típusú cukorbeteg-e?;nem ismert;NULL;m18,m76,m201,m204,m205,m206,m214,m217,m901,m1003,m1005,m1015,m1016,m1021,m1022,m1039,m1056,m2001,m2002,m99,m216,m1006,m1023,m1033,m209,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m19;0;1-es típusú cukorbeteg-e?;nem;NULL;m19,m76,m201,m204,m205,m206,m214,m217,m901,m1003,m1005,m1015,m1016,m1021,m1022,m1039,m99,m216,m1006,m1023,m1033,m209,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m19;1;1-es típusú cukorbeteg-e?;igen;NULL;m19,m76,m201,m204,m205,m206,m214,m217,m901,m1003,m1005,m1015,m1016,m1021,m1022,m1039,m99,m216,m1006,m1023,m1033,m209,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m19;2;1-es típusú cukorbeteg-e?;nem ismert;NULL;m19,m76,m201,m204,m205,m206,m214,m217,m901,m1003,m1005,m1015,m1016,m1021,m1022,m1039,m99,m216,m1006,m1023,m1033,m209,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m20;0;Ismert-e koleszterin betegsége?;nem;NULL;m20,m33,m1003,m1022,m1041,m533,m1056,m1006,m1023,m714,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1016,m1033,
m20;1;Ismert-e koleszterin betegsége?;igen;NULL;m20,m33,m1003,m1022,m1041,m533,m1056,m1006,m1023,m714,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1016,m1033,
m20;2;Ismert-e koleszterin betegsége?;nem ismert;NULL;m20,m33,m1003,m1022,m1041,m533,m1056,m1006,m1023,m714,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1016,m1033,
m21;0;Ismert-e magasvérnyomás betegsége?;nem;NULL;m9,m21,m81,m1001,m1021,m1022,m1036,m1053,m1056,m2002,m25,m509,m79,m80,m1015,m1006,m1014,m1016,m1032,m714,m320,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m21;1;Ismert-e magasvérnyomás betegsége?;igen;NULL;m9,m21,m81,m1001,m1021,m1022,m1036,m1053,m1056,m2002,m25,m509,m79,m80,m1015,m1006,m1014,m1016,m1032,m714,m320,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m21;2;Ismert-e magasvérnyomás betegsége?;nem ismert;NULL;m9,m21,m81,m1001,m1021,m1022,m1036,m1053,m1056,m2002,m25,m509,m79,m80,m1015,m1006,m1014,m1016,m1032,m714,m320,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1033,
m22;0;Volt-e családjában idoskor elõtti szív-, koszorúér betegség?;nem;NULL;m22,m78,m1016,m1021,m2001,m317,m1033,m2002,m1015,
m22;1;Volt-e családjában idoskor elõtti szív-, koszorúér betegség?;igen;NULL;m22,m78,m1016,m1021,m2001,m317,m1033,m2002,m1015,
m22;2;Volt-e családjában idoskor elõtti szív-, koszorúér betegség?;nem ismert;NULL;m22,m78,m1016,m1021,m2001,m317,m1033,m2002,m1015,
m23;0;Volt-e infarktusa?;nem;NULL;m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m23;1;Volt-e infarktusa?;igen;NULL;m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m23;2;Volt-e infarktusa?;nem ismert;NULL;m23,m1002,m1016,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m24;-1;EURO-Score kockázati százalék;nem számítható;%;m24,m320,m1015,m1016,m1030,m1031,m1033,
m24;1;EURO-Score kockázati százalék;kockázati %;%;m24,m320,m1015,m1016,m1030,m1031,m1033,
m25;-1;Framingham-score kock. Százalék;nem számítható;%;m25,m1032,
m25;1;Framingham-score kock. Százalék;kockázati %;%;m25,m1032,
m26;0;Van-e szívbetegsége?;nem;NULL;m26,m1002,m1016,m1056,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m26;1;Van-e szívbetegsége?;igen;NULL;m26,m1002,m1016,m1056,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m26;2;Van-e szívbetegsége?;nem ismert;NULL;m26,m1002,m1016,m1056,m1001,m1021,m1039,m1033,m1006,m1014,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m27;0;Van-e szénhidrátanyagcsere-zavara [IFG vagy IGT]?;nem;NULL;m27,m82,m1003,m1005,m1016,m1021,m1022,m2001,m79,m80,m1006,m1023,m1033,m2002,m320,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1015,
m27;1;Van-e szénhidrátanyagcsere-zavara [IFG vagy IGT]?;igen;NULL;m27,m82,m1003,m1005,m1016,m1021,m1022,m2001,m79,m80,m1006,m1023,m1033,m2002,m320,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1015,
m27;2;Van-e szénhidrátanyagcsere-zavara [IFG vagy IGT]?;nem ismert;NULL;m27,m82,m1003,m1005,m1016,m1021,m1022,m2001,m79,m80,m1006,m1023,m1033,m2002,m320,m1012,m1042,m1049,m1050,m1051,m1052,m1054,m1015,
m28;0;BMI (testömeg index);Nem számítható;Kg/m2;m28,m85,m97,m282,m1025,m98,m201,m78,m1011,m1016,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m28;1;BMI (testömeg index);BMI;Kg/m2;m28,m85,m97,m282,m1025,m98,m201,m78,m1011,m1016,m1063,m317,m81,m83,m265,m1039,m1048,m1051,m1052,m2001,m1033,m1015,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m1049,m2002,m320,
m29;0;Számított LDL koleszterin;nem kiértékelhetõ;mmol/l;m29,m30,m530,m1027,m2002,m714,m81,m1008,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m29;1;Számított LDL koleszterin;Számított LDL szint;mmol/l;m29,m30,m530,m1027,m2002,m714,m81,m1008,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m30;-1;LDL szint;nincs használható LDL érték;mmol/l;m30,m530,m1027,m2002,m714,m81,m1008,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m30;0;LDL szint;LDL szint;mmol/l;m30,m530,m1027,m2002,m714,m81,m1008,m1048,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m31;0;Vércukor mérés típusa?;éhgyomri;NULL;m31,m531,m1034,m1035,m714,m1043,m1044,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m31;1;Vércukor mérés típusa?;étkezés utáni;NULL;m31,m531,m1034,m1035,m714,m1043,m1044,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m31;2;Vércukor mérés típusa?;nem ismert;NULL;m31,m531,m1034,m1035,m714,m1043,m1044,m1009,m82,m83,m214,m901,m1012,m1021,m1022,m1048,m1051,m1052,m79,m80,m1014,m1023,m1038,m1047,m1050,m1054,m216,m1049,m320,m1016,m209,m1015,m1033,
m32;0;Van-e krónikus vese betegsége?;nem;NULL;m32,m77,m217,m1001,m1016,m1021,m1056,m99,m1006,m1014,m1033,m1015,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m32;1;Van-e krónikus vese betegsége?;igen;NULL;m32,m77,m217,m1001,m1016,m1021,m1056,m99,m1006,m1014,m1033,m1015,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m32;2;Van-e krónikus vese betegsége?;nem ismert;NULL;m32,m77,m217,m1001,m1016,m1021,m1056,m99,m1006,m1014,m1033,m1015,m1012,m1042,m1049,m1050,m1051,m1052,m1054,
m33;0;Kezelik magas koleszterinszint miatt?;nem;NULL;m33,m533,m1041,m1056,m714,
m33;1;Kezelik magas koleszterinszint miatt?;igen;NULL;m33,m533,m1041,m1056,m714,
m33;2;Kezelik magas koleszterinszint miatt?;nem ismert;NULL;m33,m533,m1041,m1056,m714,
m38;0;Adatfelvitel kezdete;NULL;NULL;
m39;0;Adatfelvitel vége;NULL;NULL;
m40;0;Adatfelvitel idotartama;NULL;mp;
m41;0;tervezett cél összkoleszterin érték;ismeretlen;mmol/l;
m41;1;tervezett cél HDL;ismeretlen;mmol/l;
m42;0;tervezett cél systolés vérnyomás;ismeretlen;Hgmm;
m43;0;tervezett cél haskorfogat;ismeretlen;cm;
m44;2;tervezett cél haskorfogat;NULL;cm;
m46;1;tervezett cél testtömeg;ismeretlen;Kg;m25,m29,m546,m1020,m1032,m30,m714,m81,m1008,m1048,m530,m1027,m2002,m79,m80,m1015,m1012,m1021,m1022,m1037,m1049,m320,m83,m1041,m1051,m1052,m1014,m1023,m1038,m1047,m1050,m1054,m1016,m1033,
m48;1;tervezett cél értékek elérésének életkora;ismeretlen;Év;m29,m548,m1026,m30,m714,m1008,m1048,m530,m1027,m2002,m1012,m1021,m1022,m1037,m1049,m81,m83,m1041,m1051,m1052,m79,m80,m1015,m1014,m1023,m1038,m1047,m1050,m1054,m320,m1016,m1033,
m48;2;tervezett cél dohányzás?;ismeretlen;NULL;m29,m548,m1026,m30,m714,m1008,m1048,m530,m1027,m2002,m1012,m1021,m1022,m1037,m1049,m81,m83,m1041,m1051,m1052,m79,m80,m1015,m1014,m1023,m1038,m1047,m1050,m1054,m320,m1016,m1033,
m49;0;Default HDL érték;NULL;mmol/l;m1015,
m49;1;kock.becsléshez használt HDL érték;HDL érték;mmol/l;m1015,
m49;2;default Triglicerid érték;NULL;mmol/l;m1015,
m50;0;kock.becsléshez használt Triglicerid érték;Triglicerid beírt érték;mmol/l;m320,m1015,
m50;1;kock.becsléshez használt Triglicerid érték;Triglicerid default érték;mmol/l;m320,m1015,
m50;2;Van-e koronária betegsége?;Nem;NULL;m320,m1015,
m51;0;Van-e koronária betegsége?;Igen;NULL;m51,m75,m76,m99,m1015,
m51;1;Van-e koronária betegsége?;Nem ismert;NULL;m51,m75,m76,m99,m1015,
m51;2;Van megállapított metabolikus szindrómája?;Nem;NULL;m51,m75,m76,m99,m1015,
m52;0;Van megállapított metabolikus szindrómája?;Igen;NULL;m52,m75,m1015,m76,m99,
m52;1;Van megállapított metabolikus szindrómája?;Nem ismert;NULL;m52,m75,m1015,m76,m99,
m52;2;Volt-e cerebrovasculáris érbetegsége?;Nem;NULL;m52,m75,m1015,m76,m99,
m53;0;Volt-e cerebrovasculáris érbetegsége?;Igen;NULL;m54,m209,m76,m78,m216,m1015,m99,m317,
m54;0;Volt-e cerebrovasculáris érbetegsége?;Nem ismert;NULL;m76,m78,m209,m216,m1015,m99,m317,
m54;1;Volt-e perifériás érbetegsége?;Nem;NULL;m76,m78,m209,m216,m1015,m99,m317,
m54;2;Volt-e perifériás érbetegsége?;Igen;NULL;m76,m78,m209,m216,m1015,m99,m317,
m54;3;Volt-e perifériás érbetegsége?;Nem ismert;NULL;m76,m78,m209,m216,m1015,m99,m317,
m55;0;Albumin szint - 24 órás fehérjeürítés mennyisége;ismeretlen;mg/24 óra;
m56;0;Albuminuria szint besorolás;nem besorolható;NULL;m57,m78,m317,m1015,
m57;0;Albuminuria szint besorolás;normál albuminuria szint;NULL;m78,m317,m1015,
m57;1;Albuminuria szint besorolás;mikroalbuminuria szint;NULL;m78,m317,m1015,
m57;2;Albuminuria szint besorolás;makroalbuminuria szint;NULL;m78,m317,m1015,
m57;3;Serum Kreatinin szint;ismeretlen;umol/l;m78,m317,m1015,
m57;4;Becsült (eGFR);ismeretlen;ml/perc/1,73 m2;m78,m317,m1015,
m57;5;eGFR besorolása;Nem besorolható;NULL;m78,m317,m1015,
m58;0;eGFR besorolása;Normál;NULL;
m58;1;eGFR besorolása;Enyhe csökkenés;NULL;
m58;2;eGFR besorolása;mérsékelt csökkenés;NULL;
m59;0;eGFR besorolása;súlyos csökkenés;NULL;m60,
m60;0;eGFR besorolása;veseelégtelenség;NULL;
m60;1;Van képalkotó vagy más eljárással igazolt ateroszklerózis, plakk a szervezetben?;Nincs;NULL;
m60;2;Van képalkotó vagy más eljárással igazolt ateroszklerózis, plakk a szervezetben?;Van;NULL;
m61;0;Van képalkotó vagy más eljárással igazolt ateroszklerózis, plakk a szervezetben?;Nem ismert;NULL;m61,m78,m317,m1015,
m61;1;Boka-kar index érték;ismeretlen;NULL;m61,m78,m317,m1015,
m61;2;Boka-kar index érték besorolás;Nem besorolható;NULL;m61,m78,m317,m1015,
m62;0;Boka-kar index érték besorolás;normál érték;NULL;m63,m70,m78,m1046,m82,m317,m79,m80,m1015,m320,
m63;0;Boka-kar index érték besorolás;csökkent érték;NULL;m82,m79,m80,m320,m1015,
m63;1;Volt-e balkamra hipertrófia?;Nem;NULL;m82,m79,m80,m320,m1015,
m63;2;Volt-e balkamra hipertrófia?;Igen;NULL;m82,m79,m80,m320,m1015,
m63;3;Volt-e balkamra hipertrófia?;Nem ismert;NULL;m82,m79,m80,m320,m1015,
m64;0;Húgysav szint (vérbol);ismeretlen;umol/l;m64,m65,m82,m79,m80,m320,m1015,
m64;1;Húgysavszint besorolás (-220-420- / -140-340-);Nem besorolható;NULL;m64,m65,m82,m79,m80,m320,m1015,
m64;2;Húgysavszint besorolás (-220-420- / -140-340-);csökkent;NULL;m64,m65,m82,m79,m80,m320,m1015,
m65;0;Húgysavszint besorolás (-220-420- / -140-340-);normál;NULL;m82,m79,m80,m320,m1015,
m65;1;Húgysavszint besorolás (-220-420- / -140-340-);emelkedett;NULL;m82,m79,m80,m320,m1015,
m65;2;Ismert-e alvási apnoé problémája?;Nem;NULL;m82,m79,m80,m320,m1015,
m66;0;Ismert-e alvási apnoé problémája?;Igen;NULL;m67,m82,m79,m80,m320,m1015,
m67;0;Ismert-e alvási apnoé problémája?;Nem ismert;NULL;m82,m79,m80,m320,m1015,
m67;1;Van diagnosztizált inzulinrezisztencia (CLAMP, HOMA)?;Nem;NULL;m82,m79,m80,m320,m1015,
m67;2;Van diagnosztizált inzulinrezisztencia (CLAMP, HOMA)?;Igen;NULL;m82,m79,m80,m320,m1015,
m68;0;Van diagnosztizált inzulinrezisztencia (CLAMP, HOMA)?;Nem ismert;NULL;m68,m82,m79,m80,m320,m1015,
m68;1;Nagy szenzitivitású C reaktiv protein szint (gyulladás, hsCRP);ismeretlen;mg/l;m68,m82,m79,m80,m320,m1015,
m68;2;hsCRP szint besorolás;Nem besorolható;NULL;m68,m82,m79,m80,m320,m1015,
m69;0;hsCRP szint besorolás;normál érték;NULL;m70,
m70;0;hsCRP szint besorolás;emelkedett érték;NULL;
m70;1;Megállapítható-e protombotikus állapot (fibrinogén, PAI, Homocisztein)?;Nem;NULL;
m70;2;Megállapítható-e protombotikus állapot (fibrinogén, PAI, Homocisztein)?;Igen;NULL;
m72;0;Megállapítható-e protombotikus állapot (fibrinogén, PAI, Homocisztein)?;Nem ismert;NULL;
m72;1;Apolipoprotein B (APOB) szint;ismeretlen;g/l;
m72;2;APOB szint besorolás;Nem besorolható;NULL;
m74;0;APOB szint besorolás;normál;NULL;
m74;1;APOB szint besorolás;emelkedett;NULL;
m74;2;LP(A) szint;NULL;NULL;
m75;-1;LP(A) szint besorolás;Nem besorolható;NULL;m75,m76,m99,m1015,
m75;0;LP(A) szint besorolás;normál érték;NULL;m75,m76,m99,m1015,
m75;1;LP(A) szint besorolás;emelkedett érték;NULL;m75,m76,m99,m1015,
m76;-1;APOAI szint;NULL;NULL;m99,m1015,
m76;0;APOAI szint besorolás;Nem besorolható;NULL;m99,m1015,
m76;1;APOAI szint besorolás;normál érték;NULL;m99,m1015,
m77;-1;APOAI szint besorolás;emelkedett érték;NULL;m77,m99,m1015,
m77;0;Nagy kockázat 1-es csoport?;Nem értelmezhetõ;NULL;m77,m99,m1015,
m77;1;Nagy kockázat 1-es csoport?;Nem;NULL;m77,m99,m1015,
m78;0;Nagy kockázat 1-es csoport?;Igen;NULL;m317,m1015,
m79;0;Nagy kockázat 2-es csoport?;Nem értelmezhetõ;NULL;m79,m320,m1015,
m79;1;Nagy kockázat 2-es csoport?;Nem;NULL;m79,m320,m1015,
m79;2;Nagy kockázat 2-es csoport?;Igen;NULL;m79,m320,m1015,
m80;-1;Nagy kockázat 3-as csoport?;Nem értelmezhetõ;NULL;
m80;0;Nagy kockázat 3-as csoport?;Nem;NULL;
m80;1;Nagy kockázat 3-as csoport?;Igen;NULL;
m81;0;Súlyos kockázati tényezok száma;darabszám;NULL;m79,m80,m1015,m320,
m82;-1;Teljes vagy globális kard.met. kockázati tényezok szerint nagy kock;nem;NULL;m79,m80,m82,m320,m1015,
m82;0;Teljes vagy globális kard.met. kockázati tényezok szerint nagy kock;igen;NULL;m79,m80,m82,m320,m1015,
m83;0;Teljes vagy globális kard.met. kockázati tényezok szerint nagy kock;nem meghatározható;NULL;m1014,m1023,m1038,m1047,m1050,m1051,m1052,m1054,m1016,m320,m1049,m1033,m1015,
m83;99;Nagykockázatú E csoport;Nem kiértékelhetõ;NULL;m1014,m1023,m1038,m1047,m1050,m1051,m1052,m1054,m1016,m320,m1049,m1033,m1015,
m84;-1;Nagykockázatú E csoport;Nem;NULL;m97,m98,m201,
m84;0;Nagykockázatú E csoport;Igen;NULL;m97,m98,m201,
m84;2;Globális kockázati tényezok száma;darabszám;NULL;m97,m98,m201,
m84;3;"""""Reziduális"" kockázati tényezok száma""";Nem kiértékelhetõ;NULL;m97,m98,m201,
m84;4;"""""Reziduális"" kockázati tényezok száma""";darabszám;NULL;m97,m98,m201,
m85;-1;Metabolikus szindróma kockázatainak száma;darabszám;NULL;m97,m98,m201,
m85;0;Metabolikus szindróma kockázatainak száma;Nem számolható;NULL;m97,m98,m201,
m85;1;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);nem számolható;NULL;m97,m98,m201,
m85;3;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);45 alatt;NULL;m97,m98,m201,
m86;-1;Diabétesz kockázathoz korcsoport besorolás (-45-55-65-);45-54;NULL;m97,m98,m201,
